sample pop super_pop gender batch
HG01879 ACB AFR male 6
HG01880 ACB AFR female 8
HG01882 ACB AFR male 5
HG01883 ACB AFR female 3
HG01885 ACB AFR male 2
HG01886 ACB AFR female 9
HG01889 ACB AFR female 1
HG01890 ACB AFR male 9
HG01892 PEL AMR male 4
HG01893 PEL AMR female 6
HG01894 ACB AFR female 3
HG01896 ACB AFR female 4
HG01912 ACB AFR male 8
HG01914 ACB AFR male 2
HG01915 ACB AFR female 6
HG01917 PEL AMR male 9
HG01918 PEL AMR female 4
HG01920 PEL AMR male 5
HG01921 PEL AMR female 8
HG01923 PEL AMR male 10
HG01924 PEL AMR female 4
HG01926 PEL AMR male 5
HG01927 PEL AMR female 1
HG01932 PEL AMR male 8
HG01933 PEL AMR female 6
HG01935 PEL AMR male 8
HG01936 PEL AMR female 9
HG01938 PEL AMR male 6
HG01939 PEL AMR female 4
HG01941 PEL AMR male 10
HG01942 PEL AMR female 6
HG01944 PEL AMR male 3
HG01945 PEL AMR female 6
HG01947 PEL AMR male 4
HG01948 PEL AMR female 7
HG01950 PEL AMR male 8
HG01951 PEL AMR female 10
HG01953 PEL AMR male 6
HG01954 PEL AMR female 2
HG01956 ACB AFR female 3
HG01958 ACB AFR female 8
HG01961 PEL AMR male 4
HG01965 PEL AMR female 7
HG01967 PEL AMR male 1
HG01968 PEL AMR female 2
HG01970 PEL AMR male 10
HG01971 PEL AMR female 8
HG01973 PEL AMR female 5
HG01974 PEL AMR male 1
HG01976 PEL AMR female 10
HG01977 PEL AMR male 2
HG01979 PEL AMR male 1
HG01980 PEL AMR female 1
HG01982 PEL AMR male 10
HG01985 ACB AFR female 9
HG01986 ACB AFR male 5
HG01988 ACB AFR male 9
HG01989 ACB AFR female 6
HG01990 ACB AFR male 5
HG01991 PEL AMR male 5
HG01992 PEL AMR female 3
HG01997 PEL AMR female 10
HG02002 PEL AMR male 2
HG02003 PEL AMR female 7
HG02006 PEL AMR female 6
HG02008 PEL AMR male 9
HG02009 ACB AFR male 6
HG02010 ACB AFR female 6
HG02012 ACB AFR female 1
HG02013 ACB AFR male 10
HG02014 ACB AFR male 2
HG02016 KHV EAS female 7
HG02017 KHV EAS male 6
HG02019 KHV EAS female 4
HG02020 KHV EAS male 6
HG02023 KHV EAS male 4
HG02025 KHV EAS female 4
HG02026 KHV EAS male 6
HG02028 KHV EAS female 3
HG02029 KHV EAS male 4
HG02031 KHV EAS female 10
HG02032 KHV EAS male 4
HG02035 KHV EAS male 9
HG02040 KHV EAS male 10
HG02047 KHV EAS male 2
HG02048 KHV EAS female 3
HG02049 KHV EAS female 3
HG02050 KHV EAS male 5
HG02051 ACB AFR male 4
HG02052 ACB AFR female 8
HG02053 ACB AFR male 1
HG02054 ACB AFR female 6
HG02057 KHV EAS female 1
HG02058 KHV EAS male 4
HG02060 KHV EAS female 8
HG02061 KHV EAS male 2
HG02064 KHV EAS male 7
HG02067 KHV EAS male 6
HG02069 KHV EAS female 8
HG02070 KHV EAS male 1
HG02072 KHV EAS female 1
HG02073 KHV EAS male 7
HG02075 KHV EAS female 5
HG02076 KHV EAS male 5
HG02078 KHV EAS female 4
HG02079 KHV EAS male 8
HG02081 KHV EAS female 8
HG02082 KHV EAS male 6
HG02084 KHV EAS female 9
HG02085 KHV EAS male 2
HG02086 KHV EAS female 9
